2026-04-12 00:29:54,510 INFO: Method: GET | URL: http://127.0.0.1:5002/ | User Identity: None | Status: 404 | Response Time: 0ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 00:32:19,697 INFO: Method: GET | URL: http://localhost:5002/api/v1/health | User Identity: None | Status: 500 | Response Time: 10007ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:33:59,642 INFO: Method: GET | URL: http://127.0.0.1:5002/ | User Identity: None | Status: 404 | Response Time: 0ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:34:18,628 INFO: Method: GET | URL: http://127.0.0.1:5002/ | User Identity: None | Status: 404 | Response Time: 0ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:35:05,081 INFO: Method: GET | URL: http://127.0.0.1:5002/api/v1/health | User Identity: None | Status: 200 | Response Time: 7ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:41:24,584 INFO: Method: GET | URL: http://127.0.0.1:5002/api/v1/flights | User Identity: None | Status: 308 | Response Time: 0ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:41:24,611 INFO: Method: GET | URL: http://127.0.0.1:5002/api/v1/flights/ | User Identity: None | Status: 200 | Response Time: 24ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:44:43,927 INFO: Method: OPTIONS | URL: http://localhost:5002/api/v1/auth/login | User Identity: None | Status: 200 | Response Time: 0ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:44:44,141 INFO: Method: POST | URL: http://localhost:5002/api/v1/auth/login | User Identity: None | Status: 200 | Response Time: 210ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:44:48,469 INFO: Method: OPTIONS | URL: http://localhost:5002/api/v1/auth/login | User Identity: None | Status: 200 | Response Time: 0ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:44:48,677 INFO: Method: POST | URL: http://localhost:5002/api/v1/auth/login | User Identity: 2 | Status: 200 | Response Time: 204ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:45:20,618 INFO: Method: OPTIONS | URL: http://localhost:5002/api/v1/flights/ | User Identity: None | Status: 200 | Response Time: 0ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:45:20,634 INFO: Method: GET | URL: http://localhost:5002/api/v1/flights/ | User Identity: 2 | Status: 200 | Response Time: 11ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:45:21,652 INFO: Method: OPTIONS | URL: http://localhost:5002/api/v1/seats/flight/1 | User Identity: None | Status: 404 | Response Time: 0ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:46:14,669 INFO: Method: OPTIONS | URL: http://localhost:5002/api/v1/seats/flight/8 | User Identity: None | Status: 404 | Response Time: 0ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:46:17,168 INFO: Method: OPTIONS | URL: http://localhost:5002/api/v1/seats/flight/8 | User Identity: None | Status: 404 | Response Time: 0ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:46:23,935 INFO: Method: OPTIONS | URL: http://localhost:5002/api/v1/seats/flight/8 | User Identity: None | Status: 404 | Response Time: 0ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:46:43,544 INFO: Method: GET | URL: http://127.0.0.1:5002/api/v1/seats/8/available | User Identity: None | Status: 200 | Response Time: 9ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:48:01,752 INFO: Method: OPTIONS | URL: http://localhost:5002/api/v1/flights/ | User Identity: None | Status: 200 | Response Time: 0ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:48:01,764 INFO: Method: GET | URL: http://localhost:5002/api/v1/flights/ | User Identity: 2 | Status: 200 | Response Time: 9ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:49:05,651 INFO: Method: OPTIONS | URL: http://localhost:5002/api/v1/flights/ | User Identity: None | Status: 200 | Response Time: 0ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:49:05,660 INFO: Method: GET | URL: http://localhost:5002/api/v1/flights/ | User Identity: 2 | Status: 200 | Response Time: 6ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:49:06,602 INFO: Method: OPTIONS | URL: http://localhost:5002/api/v1/seats/1/available | User Identity: None | Status: 200 | Response Time: 0ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:49:06,611 INFO: Method: GET | URL: http://localhost:5002/api/v1/seats/1/available | User Identity: 2 | Status: 200 | Response Time: 5ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:49:14,184 INFO: Method: OPTIONS | URL: http://localhost:5002/api/v1/seats/lock | User Identity: None | Status: 200 | Response Time: 0ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:49:14,201 INFO: Method: POST | URL: http://localhost:5002/api/v1/seats/lock | User Identity: 2 | Status: 200 | Response Time: 13ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:49:15,735 INFO: Method: OPTIONS | URL: http://localhost:5002/api/v1/bookings/ | User Identity: None | Status: 200 | Response Time: 0ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:49:15,751 INFO: Method: POST | URL: http://localhost:5002/api/v1/bookings/ | User Identity: 2 | Status: 409 | Response Time: 12ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:49:17,009 INFO: Method: POST | URL: http://localhost:5002/api/v1/bookings/ | User Identity: 2 | Status: 409 | Response Time: 7ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:49:19,318 INFO: Method: OPTIONS | URL: http://localhost:5002/api/v1/seats/lock | User Identity: None | Status: 200 | Response Time: 0ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:49:19,330 INFO: Method: POST | URL: http://localhost:5002/api/v1/seats/lock | User Identity: 2 | Status: 200 | Response Time: 9ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:49:27,035 INFO: Method: OPTIONS | URL: http://localhost:5002/api/v1/bookings/ | User Identity: None | Status: 200 | Response Time: 0ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:49:27,046 INFO: Method: POST | URL: http://localhost:5002/api/v1/bookings/ | User Identity: 2 | Status: 409 | Response Time: 7ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:49:38,884 INFO: Method: OPTIONS | URL: http://localhost:5002/api/v1/seats/lock | User Identity: None | Status: 200 | Response Time: 0ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:49:38,894 INFO: Method: POST | URL: http://localhost:5002/api/v1/seats/lock | User Identity: 2 | Status: 500 | Response Time: 4ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:49:40,971 INFO: Method: POST | URL: http://localhost:5002/api/v1/seats/lock | User Identity: 2 | Status: 500 | Response Time: 3ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:49:42,316 INFO: Method: OPTIONS | URL: http://localhost:5002/api/v1/bookings/ | User Identity: None | Status: 200 | Response Time: 0ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:49:42,324 INFO: Method: POST | URL: http://localhost:5002/api/v1/bookings/ | User Identity: 2 | Status: 409 | Response Time: 5ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:49:48,568 INFO: Method: OPTIONS | URL: http://localhost:5002/api/v1/seats/lock | User Identity: None | Status: 200 | Response Time: 0ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:49:48,581 INFO: Method: POST | URL: http://localhost:5002/api/v1/seats/lock | User Identity: 2 | Status: 200 | Response Time: 9ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:49:51,100 INFO: Method: OPTIONS | URL: http://localhost:5002/api/v1/seats/1/available | User Identity: None | Status: 200 | Response Time: 0ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 10:49:51,109 INFO: Method: GET | URL: http://localhost:5002/api/v1/seats/1/available | User Identity: 2 | Status: 200 | Response Time: 5ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 11:02:33,053 INFO: Method: OPTIONS | URL: http://localhost:5002/api/v1/flights/ | User Identity: None | Status: 200 | Response Time: 0ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 11:02:33,099 INFO: Method: GET | URL: http://localhost:5002/api/v1/flights/ | User Identity: 2 | Status: 200 | Response Time: 37ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 11:02:34,653 INFO: Method: OPTIONS | URL: http://localhost:5002/api/v1/seats/2/available | User Identity: None | Status: 200 | Response Time: 0ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 11:02:34,665 INFO: Method: GET | URL: http://localhost:5002/api/v1/seats/2/available | User Identity: 2 | Status: 200 | Response Time: 8ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 11:02:37,520 INFO: Method: OPTIONS | URL: http://localhost:5002/api/v1/seats/lock | User Identity: None | Status: 200 | Response Time: 0ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 11:02:37,539 INFO: Method: POST | URL: http://localhost:5002/api/v1/seats/lock | User Identity: 2 | Status: 200 | Response Time: 15ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 11:02:39,169 INFO: Method: OPTIONS | URL: http://localhost:5002/api/v1/bookings/ | User Identity: None | Status: 200 | Response Time: 0ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 11:02:39,176 INFO: Method: POST | URL: http://localhost:5002/api/v1/bookings/ | User Identity: 2 | Status: 409 | Response Time: 4ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 11:02:45,470 INFO: Method: OPTIONS | URL: http://localhost:5002/api/v1/seats/lock | User Identity: None | Status: 200 | Response Time: 0ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 11:02:45,477 INFO: Method: POST | URL: http://localhost:5002/api/v1/seats/lock | User Identity: 2 | Status: 409 | Response Time: 3ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 11:02:48,853 INFO: Method: OPTIONS | URL: http://localhost:5002/api/v1/bookings/ | User Identity: None | Status: 200 | Response Time: 0ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 11:02:48,864 INFO: Method: POST | URL: http://localhost:5002/api/v1/bookings/ | User Identity: 2 | Status: 409 | Response Time: 7ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 11:02:55,801 INFO: Method: OPTIONS | URL: http://localhost:5002/api/v1/seats/lock | User Identity: None | Status: 200 | Response Time: 0ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 11:02:55,814 INFO: Method: POST | URL: http://localhost:5002/api/v1/seats/lock | User Identity: 2 | Status: 200 | Response Time: 9ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 11:02:57,503 INFO: Method: OPTIONS | URL: http://localhost:5002/api/v1/bookings/ | User Identity: None | Status: 200 | Response Time: 0ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 11:02:57,514 INFO: Method: POST | URL: http://localhost:5002/api/v1/bookings/ | User Identity: 2 | Status: 409 | Response Time: 7ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 11:36:31,731 INFO: Method: GET | URL: http://127.0.0.1:5002/api/v1/flights/ | User Identity: None | Status: 200 | Response Time: 21ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 11:36:31,743 INFO: Method: GET | URL: http://127.0.0.1:5002/api/v1/flights/ | User Identity: None | Status: 200 | Response Time: 6ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 11:38:25,231 INFO: Method: GET | URL: http://127.0.0.1:5002/api/v1/flights/ | User Identity: None | Status: 200 | Response Time: 10ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 11:38:25,242 INFO: Method: GET | URL: http://127.0.0.1:5002/api/v1/flights/ | User Identity: None | Status: 200 | Response Time: 7ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 11:39:09,371 INFO: Method: GET | URL: http://127.0.0.1:5002/api/v1/health | User Identity: None | Status: 200 | Response Time: 2ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 11:39:56,378 INFO: Method: GET | URL: http://127.0.0.1:5002/api/v1/flights/ | User Identity: None | Status: 200 | Response Time: 11ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 11:39:56,393 INFO: Method: GET | URL: http://127.0.0.1:5002/api/v1/flights/ | User Identity: None | Status: 200 | Response Time: 10ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 11:40:09,534 INFO: Method: OPTIONS | URL: http://127.0.0.1:5002/api/v1/flights/ | User Identity: None | Status: 200 | Response Time: 0ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 11:40:36,210 INFO: Method: GET | URL: http://127.0.0.1:5002/api/v1/flights/ | User Identity: None | Status: 200 | Response Time: 4ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 11:40:59,187 INFO: Method: GET | URL: http://127.0.0.1:5002/api/v1/flights/ | User Identity: None | Status: 200 | Response Time: 9ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 11:42:03,459 INFO: Method: GET | URL: http://127.0.0.1:5002/api/v1/admin/flights/ | User Identity: None | Status: 404 | Response Time: 0ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 11:47:01,916 INFO: Method: GET | URL: http://127.0.0.1:5002/api/v1/flights/ | User Identity: None | Status: 200 | Response Time: 4ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
2026-04-12 11:47:01,918 INFO: Method: GET | URL: http://127.0.0.1:5002/api/v1/flights/ | User Identity: None | Status: 200 | Response Time: 6ms [in /Users/truptijain/Desktop/Airline_Management/app/__init__.py:123]
